date,open,high,low,close,m1_bars
2018-01-22,122.4,122.507,122.196,122.334,420
2018-01-23,122.334,122.66,122.272,122.645,456
2018-01-24,122.629,122.691,122.298,122.407,507
2018-01-25,122.392,122.608,122.124,122.577,531
2018-01-26,122.592,122.592,122.137,122.214,480
2018-01-29,122.193,122.256,121.707,121.964,598
2018-01-30,121.956,122.095,121.674,121.781,609
2018-01-31,121.781,121.983,121.466,121.794,598
2018-02-01,121.794,121.794,121.213,121.228,613
2018-02-02,121.228,121.321,120.789,120.929,605
2018-02-05,120.908,122.188,120.688,122.078,728
2018-02-06,122.031,122.703,121.293,121.325,1238
2018-02-07,121.325,121.714,120.978,121.166,858
2018-02-08,121.197,121.353,120.648,121.21,986
2018-02-09,121.147,121.692,120.911,121.078,940
2018-02-12,121.03,121.137,120.731,120.949,603
2018-02-13,120.949,121.229,120.949,121.15,525
2018-02-14,121.118,121.321,120.35,120.475,684
2018-02-15,120.49,120.644,120.129,120.409,671
2018-02-16,120.409,120.861,120.394,120.657,526
2018-02-19,120.667,120.73,120.478,120.509,161
2018-02-20,120.524,120.631,120.241,120.584,494
2018-02-21,120.568,120.691,120.144,120.19,472
2018-02-22,120.206,120.548,120.175,120.438,526
2018-02-23,120.438,120.889,120.328,120.795,463
2018-02-26,120.758,121.069,120.727,120.849,479
2018-02-27,120.834,120.94,120.295,120.482,514
2018-02-28,120.482,120.728,120.307,120.728,501
2018-03-01,120.712,121.336,120.633,121.178,714
2018-03-02,121.162,121.316,120.702,120.748,678
2018-03-05,120.721,121.222,120.497,120.606,662
2018-03-06,120.606,120.806,120.43,120.569,506
2018-03-07,120.757,121.055,120.579,120.595,660
2018-03-08,120.595,120.889,120.544,120.809,492
2018-03-09,120.793,120.821,120.412,120.599,483
2018-03-11,120.541,120.541,120.509,120.509,8
2018-03-12,120.512,120.802,120.46,120.739,394
2018-03-13,120.742,121.081,120.642,120.937,455
2018-03-14,120.93,121.232,120.793,121.026,526
2018-03-15,121.03,121.261,120.943,121.005,497
2018-03-16,121.0,121.159,120.813,120.89,404
2018-03-18,120.862,120.862,120.831,120.847,6
2018-03-19,120.842,121.015,120.608,120.81,459
2018-03-20,120.817,120.856,120.459,120.521,408
2018-03-21,120.514,120.752,120.203,120.626,439
2018-03-22,120.633,121.296,120.61,121.216,688
2018-03-23,121.223,121.372,120.931,121.18,738
2018-03-25,121.137,121.215,121.137,121.215,21
2018-03-26,121.208,121.215,120.833,120.864,555
2018-03-27,120.868,121.518,120.817,121.455,611
2018-03-28,121.448,121.751,121.262,121.324,744
2018-03-29,121.331,121.649,121.276,121.507,498
2018-04-01,121.489,121.505,121.458,121.489,15
2018-04-02,121.482,121.814,121.36,121.687,470
2018-04-03,121.695,121.703,121.228,121.337,595
2018-04-04,121.34,121.585,121.112,121.127,641
2018-04-05,121.12,121.169,120.95,121.153,437
2018-04-06,121.16,121.478,121.009,121.446,692
2018-04-08,121.403,121.418,121.309,121.356,15
2018-04-09,121.352,121.413,121.132,121.381,458
2018-04-10,121.388,121.397,121.078,121.109,596
2018-04-11,121.102,121.513,121.093,121.276,487
2018-04-12,121.272,121.353,120.801,120.91,443
2018-04-13,120.917,121.003,120.734,120.873,445
2018-04-15,120.815,120.815,120.721,120.736,11
2018-04-16,120.729,120.857,120.592,120.809,401
2018-04-17,120.802,120.914,120.681,120.788,360
2018-04-18,120.795,120.866,120.438,120.5,391
2018-04-19,120.507,120.562,120.057,120.197,471
2018-04-20,120.189,120.257,119.815,119.815,426
2018-04-22,119.82,119.82,119.757,119.757,9
2018-04-23,119.76,119.772,119.535,119.673,480
2018-04-24,119.666,119.765,119.45,119.511,483
2018-04-25,119.518,119.589,119.289,119.38,554
2018-04-26,119.373,119.69,119.331,119.64,474
2018-04-27,119.636,119.84,119.59,119.776,412
2018-04-29,119.788,119.788,119.733,119.733,4
2018-04-30,119.738,119.932,119.669,119.806,345
2018-05-01,119.802,119.85,119.645,119.707,391
2018-05-02,119.703,119.827,119.532,119.748,476
2018-05-03,119.744,120.096,119.715,119.93,413
2018-05-04,119.934,120.24,119.832,119.925,434
2018-05-06,119.882,119.898,119.867,119.882,4
2018-05-07,119.875,120.004,119.832,119.877,266
2018-05-08,119.884,119.953,119.622,119.683,370
2018-05-09,119.69,119.714,119.431,119.474,348
2018-05-10,119.481,119.894,119.458,119.625,414
2018-05-11,119.632,119.748,119.543,119.604,355
2018-05-13,119.577,119.577,119.546,119.561,8
2018-05-14,119.565,119.685,119.353,119.384,317
2018-05-15,119.391,119.415,118.722,118.971,495
2018-05-16,118.964,119.0,118.638,118.715,440
2018-05-17,118.708,118.775,118.526,118.616,483
2018-05-18,118.623,119.081,118.568,119.065,448
2018-05-20,118.866,118.897,118.834,118.881,13
2018-05-21,118.878,119.095,118.847,119.032,399
2018-05-22,119.039,119.11,118.888,119.058,439
2018-05-23,119.051,119.6,119.01,119.568,542
2018-05-24,119.565,119.846,119.425,119.657,544
2018-05-25,119.664,120.137,119.546,120.137,484
2018-05-27,119.969,119.984,119.859,119.89,17
2018-05-28,119.897,120.434,119.81,120.307,297
2018-05-29,120.303,121.429,120.228,121.318,989
2018-05-30,121.325,121.521,120.392,120.7,1034
2018-05-31,120.716,120.901,120.385,120.633,838
2018-06-01,120.641,120.68,120.035,120.191,697
2018-06-03,120.198,120.245,120.183,120.23,12
2018-06-04,120.245,120.261,119.85,119.896,549
2018-06-05,119.903,120.27,119.88,120.065,622
2018-06-06,120.062,120.065,119.654,119.716,528
2018-06-07,119.709,120.418,119.542,120.01,647
2018-06-08,120.014,120.353,119.868,119.897,703
2018-06-10,119.983,119.998,119.873,119.904,14
2018-06-11,119.911,119.935,119.744,119.822,421
2018-06-12,119.829,119.931,119.631,119.802,519
2018-06-13,119.795,119.846,119.297,119.641,460
2018-06-14,119.634,119.953,119.578,119.873,558
2018-06-15,119.865,120.231,119.857,119.963,525
2018-06-17,119.986,120.049,119.986,120.002,13
2018-06-18,119.995,120.157,119.92,120.045,410
2018-06-19,120.038,120.545,120.029,120.166,625
2018-06-20,120.174,120.305,119.833,119.88,458
2018-06-21,119.887,120.285,119.786,120.237,547
2018-06-22,120.234,120.25,120.0,120.233,411
2018-06-24,120.225,120.303,120.225,120.272,12
2018-06-25,120.279,120.474,120.223,120.237,581
2018-06-26,120.24,120.438,120.173,120.311,441
2018-06-27,120.318,120.746,120.279,120.699,510
2018-06-28,120.692,120.775,120.492,120.585,498
2018-06-29,120.578,120.616,120.394,120.425,464
2018-07-01,120.417,120.511,120.401,120.479,25
2018-07-02,120.486,120.744,120.319,120.366,431
2018-07-03,120.373,120.676,120.254,120.628,442
2018-07-04,120.635,120.659,120.531,120.561,168
2018-07-05,120.569,120.731,120.403,120.605,450
2018-07-06,120.6,120.904,120.509,120.679,394
2018-07-08,120.655,120.671,120.624,120.671,11
2018-07-09,120.664,120.671,120.385,120.401,309
2018-07-10,120.408,120.647,120.272,120.6,332
2018-07-11,120.593,120.678,120.363,120.502,541
2018-07-12,120.51,120.531,120.289,120.467,330
2018-07-13,120.463,120.652,120.403,120.651,302
2018-07-15,120.628,120.628,120.581,120.581,14
2018-07-16,120.588,120.627,120.265,120.42,253
2018-07-17,120.413,120.496,120.294,120.353,318
2018-07-18,120.358,120.492,120.209,120.224,296
2018-07-19,120.217,120.66,120.113,120.533,391
2018-07-20,120.53,120.611,120.194,120.248,427
2018-07-22,120.255,120.271,120.193,120.208,10
2018-07-23,120.201,120.332,119.688,119.735,426
2018-07-24,119.742,119.858,119.623,119.762,376
2018-07-25,119.769,119.916,119.555,119.57,460
2018-07-26,119.578,119.787,119.489,119.566,398
2018-07-27,119.574,119.721,119.472,119.704,346
2018-07-29,119.664,119.696,119.617,119.68,13
2018-07-30,119.687,119.695,119.458,119.598,365
2018-07-31,119.594,119.863,119.55,119.735,487
2018-08-01,119.727,119.735,119.278,119.339,396
2018-08-02,119.347,119.572,119.324,119.461,475
2018-08-03,119.453,119.802,119.413,119.801,402
2018-08-05,119.778,119.778,119.731,119.746,6
2018-08-06,119.739,120.01,119.699,119.899,263
2018-08-07,119.892,119.929,119.582,119.66,241
2018-08-08,119.656,119.751,119.564,119.719,312
2018-08-09,119.712,119.966,119.67,119.934,344
2018-08-10,119.927,120.556,119.902,120.384,609
2018-08-12,120.517,120.595,120.501,120.501,15
2018-08-13,120.508,120.624,120.279,120.325,647
2018-08-14,120.332,120.387,120.167,120.211,419
2018-08-15,120.208,120.694,120.196,120.489,598
2018-08-16,120.496,120.536,120.252,120.407,472
