date,open,high,low,close,m1_bars
2010-12-27,90.475,91.289,89.935,90.14,1254
2010-12-28,90.22,91.11,90.181,90.701,1183
2010-12-29,90.721,90.988,90.267,90.426,1192
2010-12-30,90.457,90.883,88.525,89.117,1181
2010-12-31,89.178,91.575,88.576,90.92,1129
2011-01-03,90.88,92.161,90.781,91.132,1269
2011-01-04,91.093,91.673,87.985,88.856,1277
2011-01-05,88.916,90.479,87.745,90.045,1293
2011-01-06,90.115,90.356,87.522,87.767,1296
2011-01-07,87.857,89.169,86.949,88.178,1321
2011-01-10,88.744,89.722,87.89,89.116,1337
2011-01-11,89.077,91.173,88.708,91.015,1284
2011-01-12,90.966,92.19,90.589,91.777,1258
2011-01-13,91.808,92.195,90.583,90.783,1279
2011-01-14,90.824,91.544,89.948,91.525,1198
2011-01-17,91.415,91.704,90.745,90.944,977
2011-01-18,91.02,91.933,90.522,91.224,1168
2011-01-19,91.264,92.092,90.55,90.716,1252
2011-01-20,90.727,90.898,88.042,88.504,1279
2011-01-21,88.594,89.368,88.039,88.272,1301
2011-01-24,88.473,88.858,86.53,86.981,1324
2011-01-25,86.962,87.122,85.417,85.489,1305
2011-01-26,85.529,87.1,85.348,86.933,1261
2011-01-27,86.864,86.975,84.566,84.606,1306
2011-01-28,84.636,89.073,84.471,88.84,1332
2011-01-31,89.369,92.243,87.826,91.63,1366
2011-02-01,91.611,91.877,89.778,89.947,1316
2011-02-02,89.958,91.238,89.571,90.401,1312
2011-02-03,90.412,91.529,89.495,90.04,1297
2011-02-04,90.13,91.181,87.981,88.653,1265
2011-02-07,88.646,89.127,86.798,87.058,1291
2011-02-08,87.029,87.745,85.518,87.074,1293
2011-02-09,86.995,87.61,86.03,86.462,1284
2011-02-10,86.602,87.587,85.646,87.254,1278
2011-02-11,87.394,87.444,84.822,85.007,1319
2011-02-14,85.277,86.311,84.38,84.652,1282
2011-02-15,84.643,85.786,83.675,84.198,1234
2011-02-16,84.269,85.794,83.967,85.051,1200
2011-02-17,85.2,86.371,84.493,86.124,1128
2011-02-18,86.136,88.098,85.624,87.117,1197
2011-02-21,87.529,92.748,87.52,92.67,1111
2011-02-22,93.854,95.691,90.915,92.758,1387
2011-02-23,93.062,97.292,92.542,96.355,1331
2011-02-24,96.358,100.718,93.181,94.336,1383
2011-02-25,94.164,96.714,93.782,95.825,1375
2011-02-28,96.282,97.714,94.595,94.78,1370
2011-03-01,94.881,98.613,94.299,98.508,1334
2011-03-02,98.413,100.486,97.206,100.419,1357
2011-03-03,100.383,100.929,98.264,99.803,1352
2011-03-04,99.806,103.309,99.649,103.055,1349
2011-03-07,103.008,105.333,102.615,103.205,1387
2011-03-08,103.307,104.298,101.847,103.574,1376
2011-03-09,103.518,104.53,102.564,103.144,1330
2011-03-10,103.117,103.755,99.405,101.369,1342
2011-03-11,101.431,101.803,98.083,99.501,1348
2011-03-13,99.42,100.253,98.304,98.552,60
2011-03-14,98.523,101.083,97.641,100.724,1372
2011-03-15,100.734,100.834,96.003,96.871,1375
2011-03-16,96.851,98.982,95.577,96.51,1375
2011-03-17,96.53,103.027,96.163,102.987,1353
2011-03-18,102.938,103.424,99.955,101.434,1266
2011-03-20,102.015,103.035,101.995,102.798,60
2011-03-21,102.788,103.256,101.621,102.038,1329
2011-03-22,102.058,104.237,101.156,103.815,1299
2011-03-23,103.824,105.395,103.438,104.521,1319
2011-03-24,104.531,105.766,103.863,104.664,1260
2011-03-25,104.674,105.074,103.633,104.655,1219
2011-03-27,104.633,104.96,104.206,104.575,59
2011-03-28,104.545,104.806,102.837,103.099,1288
2011-03-29,103.109,104.267,101.973,103.717,1291
2011-03-30,103.707,104.446,102.745,103.581,1247
2011-03-31,103.571,106.267,103.532,106.168,1269
2011-04-01,106.158,107.819,105.652,107.66,1281
2011-04-03,107.71,108.018,107.481,107.691,55
2011-04-04,107.701,108.213,107.025,107.675,1302
2011-04-05,107.685,108.077,106.975,107.311,1256
2011-04-06,107.341,108.657,107.302,108.142,1234
2011-04-07,108.122,109.981,107.762,109.859,1241
2011-04-08,109.849,112.78,109.662,112.621,1286
2011-04-10,112.923,113.103,112.645,112.805,60
2011-04-11,112.815,112.966,108.37,108.513,1358
2011-04-12,108.533,109.945,105.197,105.734,1379
2011-04-13,105.764,107.323,105.071,107.055,1350
2011-04-14,107.065,108.506,105.557,108.296,1299
2011-04-15,108.307,109.918,107.029,109.217,1230
2011-04-17,109.39,109.4,109.042,109.083,54
2011-04-18,109.103,109.243,106.472,107.303,1260
2011-04-19,107.293,108.481,105.405,107.531,1335
2011-04-20,107.502,111.046,107.502,110.714,1289
2011-04-21,110.724,111.873,110.408,111.757,1279
2011-04-24,111.809,111.939,111.232,111.919,47
2011-04-25,111.929,112.957,110.569,111.442,1287
2011-04-26,111.452,112.141,110.62,111.671,1326
2011-04-27,111.661,112.926,110.241,112.887,1311
2011-04-28,112.877,113.508,111.239,112.37,1327
2011-04-29,112.38,113.741,111.809,113.295,1157
